"timeid","lid","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"1","20928","1","0","0.0000","0","0","0","0.0000","0","0"
"1","21308","1","0","0.0000","0","0","0","0.0000","0","0"
"2","20807","1","0","0.0000","0","0","0","0.0000","0","0"
"2","21312","1","0","0.0000","0","0","0","0.0000","0","0"
"3","21312","1","0","0.0000","0","0","0","0.0000","0","0"
"4","20857","1","0","0.0000","0","0","0","0.0000","0","0"
"5","21016","1","0","0.0000","0","0","0","0.0000","0","0"
"5","21205","1","0","0.0000","0","0","0","0.0000","0","0"
"6","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"6","21204","1","0","0.0000","0","0","0","0.0000","0","0"
"7","21296","1","0","0.0000","0","0","0","0.0000","0","0"
"8","20929","1","0","0.0000","0","0","1","1.0000","1","1"
"9","21323","1","0","0.0000","0","0","0","0.0000","0","0"
"10","21076","1","0","0.0000","0","0","0","0.0000","0","0"
"10","21296","1","0","0.0000","0","0","0","0.0000","0","0"
"11","15797","1","0","0.0000","0","0","0","0.0000","0","0"
"12","21040","1","0","0.0000","0","0","0","0.0000","0","0"
"12","21111","1","0","0.0000","0","0","2","2.0000","2","2"
"13","21040","1","0","0.0000","0","0","0","0.0000","0","0"
"14","21138","1","0","0.0000","0","0","0","0.0000","0","0"
"15","21296","1","0","0.0000","0","0","0","0.0000","0","0"
"16","20878","1","0","0.0000","0","0","0","0.0000","0","0"
"16","21060","1","0","0.0000","0","0","0","0.0000","0","0"
"17","20857","1","0","0.0000","0","0","0","0.0000","0","0"
"18","20928","1","0","0.0000","0","0","0","0.0000","0","0"
"18","21163","1","0","0.0000","0","0","0","0.0000","0","0"
"19","20857","1","0","0.0000","0","0","0","0.0000","0","0"
"19","20996","1","0","0.0000","0","0","0","0.0000","0","0"
"19","21185","1","0","0.0000","0","0","0","0.0000","0","0"
"19","21190","1","0","0.0000","0","0","0","0.0000","0","0"
"19","21296","1","0","0.0000","0","0","0","0.0000","0","0"
"20","21320","1","0","0.0000","0","0","0","0.0000","0","0"
"21","21111","2","0","0.0000","0","0","0","0.0000","0","0"
"22","21131","1","0","0.0000","0","0","0","0.0000","0","0"
"23","20761","2","0","0.0000","0","0","14","7.0000","7","7"
"24","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"24","21156","1","0","0.0000","0","0","1","1.0000","1","1"
"25","20761","2","0","0.0000","0","0","0","0.0000","0","0"
"25","20828","1","1","1.0000","1","1","0","0.0000","0","0"
"26","20975","1","0","0.0000","0","0","0","0.0000","0","0"
"26","20981","1","0","0.0000","0","0","0","0.0000","0","0"
"27","20865","1","0","0.0000","0","0","0","0.0000","0","0"
"27","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"27","21296","1","0","0.0000","0","0","0","0.0000","0","0"
"28","18704","1","47","47.0000","47","47","0","0.0000","0","0"
"28","20857","1","0","0.0000","0","0","0","0.0000","0","0"
"28","21111","2","0","0.0000","0","0","0","0.0000","0","0"
"28","21650","1","0","0.0000","0","0","0","0.0000","0","0"
"29","21104","1","0","0.0000","0","0","0","0.0000","0","0"
"30","20748","1","0","0.0000","0","0","0","0.0000","0","0"
"31","20857","1","0","0.0000","0","0","0","0.0000","0","0"
"31","20929","1","0","0.0000","0","0","0","0.0000","0","0"
"32","20855","1","0","0.0000","0","0","0","0.0000","0","0"
"33","15806","1","0","0.0000","0","0","0","0.0000","0","0"
"34","20855","3","0","0.0000","0","0","0","0.0000","0","0"
"34","20856","1","0","0.0000","0","0","0","0.0000","0","0"
"35","21134","1","0","0.0000","0","0","0","0.0000","0","0"
"36","21296","1","0","0.0000","0","0","0","0.0000","0","0"
"37","21296","1","0","0.0000","0","0","0","0.0000","0","0"
"38","20863","1","0","0.0000","0","0","0","0.0000","0","0"
"39","20982","1","0","0.0000","0","0","0","0.0000","0","0"
"40","20929","1","0","0.0000","0","0","0","0.0000","0","0"
"41","20930","2","0","0.0000","0","0","0","0.0000","0","0"
"41","21111","3","0","0.0000","0","0","0","0.0000","0","0"
"42","21307","2","0","0.0000","0","0","0","0.0000","0","0"
"43","4844","1","0","0.0000","0","0","2","2.0000","2","2"
"44","21052","1","0","0.0000","0","0","0","0.0000","0","0"
"44","21208","1","0","0.0000","0","0","0","0.0000","0","0"
"45","20825","1","0","0.0000","0","0","1","1.0000","1","1"
"46","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"47","21111","2","0","0.0000","0","0","1","0.5000","1","0"
"48","21111","2","0","0.0000","0","0","17","8.5000","17","0"
"49","20893","1","0","0.0000","0","0","0","0.0000","0","0"
"50","20820","1","0","0.0000","0","0","0","0.0000","0","0"
"50","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"50","21134","1","0","0.0000","0","0","0","0.0000","0","0"
"51","20828","1","0","0.0000","0","0","0","0.0000","0","0"
"52","20911","1","0","0.0000","0","0","0","0.0000","0","0"
"52","20927","1","0","0.0000","0","0","0","0.0000","0","0"
"53","21296","1","0","0.0000","0","0","0","0.0000","0","0"
"54","21017","1","0","0.0000","0","0","0","0.0000","0","0"
"54","21104","1","0","0.0000","0","0","0","0.0000","0","0"
"54","21240","1","0","0.0000","0","0","0","0.0000","0","0"
"55","21111","2","0","0.0000","0","0","0","0.0000","0","0"
"55","21293","1","0","0.0000","0","0","0","0.0000","0","0"
"56","20843","2","0","0.0000","0","0","0","0.0000","0","0"
"56","21240","1","0","0.0000","0","0","0","0.0000","0","0"
"57","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"57","20967","1","0","0.0000","0","0","0","0.0000","0","0"
"57","20969","1","0","0.0000","0","0","0","0.0000","0","0"
"58","20932","1","0","0.0000","0","0","0","0.0000","0","0"
"59","20827","1","0","0.0000","0","0","0","0.0000","0","0"
"59","21104","1","0","0.0000","0","0","0","0.0000","0","0"
"59","21238","1","0","0.0000","0","0","5","5.0000","5","5"
"60","20761","1","0","0.0000","0","0","0","0.0000","0","0"
"60","21045","2","0","0.0000","0","0","0","0.0000","0","0"
"61","20843","1","0","0.0000","0","0","0","0.0000","0","0"
"62","10056","1","0","0.0000","0","0","0","0.0000","0","0"
"62","20794","3","0","0.0000","0","0","0","0.0000","0","0"
"63","20843","1","0","0.0000","0","0","0","0.0000","0","0"
"63","21045","3","0","0.0000","0","0","0","0.0000","0","0"
"64","20807","1","0","0.0000","0","0","2","2.0000","2","2"
"65","21296","3","0","0.0000","0","0","0","0.0000","0","0"
"66","20969","1","0","0.0000","0","0","3","3.0000","3","3"
"67","16362","1","36","36.0000","36","36","0","0.0000","0","0"
"67","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"68","20761","1","0","0.0000","0","0","0","0.0000","0","0"
"68","20818","1","0","0.0000","0","0","0","0.0000","0","0"
"68","20843","1","0","0.0000","0","0","0","0.0000","0","0"
"68","21313","1","0","0.0000","0","0","0","0.0000","0","0"
"69","21180","2","0","0.0000","0","0","0","0.0000","0","0"
"70","20810","1","0","0.0000","0","0","0","0.0000","0","0"
"70","21111","2","0","0.0000","0","0","0","0.0000","0","0"
"71","21017","3","0","0.0000","0","0","0","0.0000","0","0"
"71","21176","1","0","0.0000","0","0","0","0.0000","0","0"
"72","20974","1","0","0.0000","0","0","0","0.0000","0","0"
"72","21034","1","0","0.0000","0","0","0","0.0000","0","0"
"73","20868","1","0","0.0000","0","0","0","0.0000","0","0"
"73","20934","1","0","0.0000","0","0","0","0.0000","0","0"
"74","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"75","20996","1","0","0.0000","0","0","0","0.0000","0","0"
"75","21205","1","0","0.0000","0","0","1","1.0000","1","1"
"76","20868","1","0","0.0000","0","0","2","2.0000","2","2"
"76","20929","2","0","0.0000","0","0","0","0.0000","0","0"
"76","20950","1","0","0.0000","0","0","0","0.0000","0","0"
"76","21111","3","0","0.0000","0","0","11","3.6667","10","0"
"77","20988","1","0","0.0000","0","0","0","0.0000","0","0"
"77","21048","1","0","0.0000","0","0","0","0.0000","0","0"
"77","21115","1","0","0.0000","0","0","0","0.0000","0","0"
"77","21146","1","0","0.0000","0","0","0","0.0000","0","0"
"78","20878","1","0","0.0000","0","0","0","0.0000","0","0"
"78","20893","1","0","0.0000","0","0","0","0.0000","0","0"
"78","20925","1","0","0.0000","0","0","0","0.0000","0","0"
"78","21111","1","0","0.0000","0","0","2","2.0000","2","2"
"79","20807","1","0","0.0000","0","0","0","0.0000","0","0"
"79","21163","2","0","0.0000","0","0","0","0.0000","0","0"
"79","21178","1","0","0.0000","0","0","0","0.0000","0","0"
"79","21290","1","0","0.0000","0","0","0","0.0000","0","0"
"80","20869","1","0","0.0000","0","0","0","0.0000","0","0"
"81","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"81","21111","1","0","0.0000","0","0","12","12.0000","12","12"
"82","20875","1","0","0.0000","0","0","0","0.0000","0","0"
"83","21016","1","0","0.0000","0","0","0","0.0000","0","0"
"83","21240","1","0","0.0000","0","0","0","0.0000","0","0"
"84","20889","1","0","0.0000","0","0","0","0.0000","0","0"
"84","20959","1","0","0.0000","0","0","2","2.0000","2","2"
"84","21124","1","0","0.0000","0","0","0","0.0000","0","0"
"84","21262","1","0","0.0000","0","0","0","0.0000","0","0"
"85","21004","1","0","0.0000","0","0","0","0.0000","0","0"
"85","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"86","21323","1","0","0.0000","0","0","0","0.0000","0","0"
"87","21041","1","0","0.0000","0","0","0","0.0000","0","0"
"88","20889","1","0","0.0000","0","0","0","0.0000","0","0"
"88","20897","1","0","0.0000","0","0","0","0.0000","0","0"
"89","20843","1","0","0.0000","0","0","0","0.0000","0","0"
"90","20954","1","0","0.0000","0","0","10","10.0000","10","10"
"91","21124","1","0","0.0000","0","0","0","0.0000","0","0"
"92","21124","2","0","0.0000","0","0","0","0.0000","0","0"
"93","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"93","20996","2","0","0.0000","0","0","0","0.0000","0","0"
"94","20783","1","0","0.0000","0","0","0","0.0000","0","0"
"94","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"95","20807","1","0","0.0000","0","0","0","0.0000","0","0"
"95","21323","1","0","0.0000","0","0","0","0.0000","0","0"
"96","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"97","15300","1","1","1.0000","1","1","12","12.0000","12","12"
"97","20937","1","0","0.0000","0","0","1","1.0000","1","1"
"97","20974","1","0","0.0000","0","0","0","0.0000","0","0"
"98","21163","1","0","0.0000","0","0","0","0.0000","0","0"
"99","20807","1","0","0.0000","0","0","0","0.0000","0","0"
"100","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"101","15797","1","0","0.0000","0","0","0","0.0000","0","0"
"102","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"103","20807","1","0","0.0000","0","0","0","0.0000","0","0"
"103","20930","1","0","0.0000","0","0","0","0.0000","0","0"
"104","10056","2","0","0.0000","0","0","0","0.0000","0","0"
"104","20935","1","0","0.0000","0","0","0","0.0000","0","0"
"104","21078","1","0","0.0000","0","0","1","1.0000","1","1"
"105","21059","1","0","0.0000","0","0","0","0.0000","0","0"
"106","20959","1","0","0.0000","0","0","20","20.0000","20","20"
"106","21045","1","0","0.0000","0","0","0","0.0000","0","0"
"107","20796","1","0","0.0000","0","0","0","0.0000","0","0"
"108","20778","1","0","0.0000","0","0","3","3.0000","3","3"
"109","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"110","20761","1","0","0.0000","0","0","0","0.0000","0","0"
"111","20828","1","0","0.0000","0","0","0","0.0000","0","0"
"111","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"112","20959","1","0","0.0000","0","0","0","0.0000","0","0"
"113","21080","1","1","1.0000","1","1","1","1.0000","1","1"
"113","21111","4","0","0.0000","0","0","0","0.0000","0","0"
"114","20996","1","0","0.0000","0","0","0","0.0000","0","0"
"115","20761","1","0","0.0000","0","0","0","0.0000","0","0"
"115","20875","1","0","0.0000","0","0","0","0.0000","0","0"
"116","20770","1","1","1.0000","1","1","0","0.0000","0","0"
"116","20875","4","0","0.0000","0","0","0","0.0000","0","0"
"117","21296","1","0","0.0000","0","0","0","0.0000","0","0"
"118","21105","1","0","0.0000","0","0","0","0.0000","0","0"
"118","21111","2","0","0.0000","0","0","0","0.0000","0","0"
"118","21130","1","0","0.0000","0","0","0","0.0000","0","0"
"118","21244","1","0","0.0000","0","0","0","0.0000","0","0"
"119","21111","2","0","0.0000","0","0","0","0.0000","0","0"
"120","20739","1","0","0.0000","0","0","0","0.0000","0","0"
"120","20813","1","0","0.0000","0","0","0","0.0000","0","0"
"121","20931","1","0","0.0000","0","0","0","0.0000","0","0"
"122","21005","1","1","1.0000","1","1","3","3.0000","3","3"
"123","20810","1","0","0.0000","0","0","0","0.0000","0","0"
"124","20930","1","0","0.0000","0","0","0","0.0000","0","0"
"124","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"125","20930","1","0","0.0000","0","0","0","0.0000","0","0"
"125","21036","1","0","0.0000","0","0","0","0.0000","0","0"
"125","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"126","20930","1","2","2.0000","2","2","0","0.0000","0","0"
"127","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"128","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"129","20827","1","0","0.0000","0","0","0","0.0000","0","0"
"129","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"129","21313","1","0","0.0000","0","0","0","0.0000","0","0"
"130","21070","1","0","0.0000","0","0","0","0.0000","0","0"
"130","21313","1","0","0.0000","0","0","0","0.0000","0","0"
"131","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"132","21315","1","0","0.0000","0","0","0","0.0000","0","0"
"133","20828","2","0","0.0000","0","0","0","0.0000","0","0"
"133","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"134","20753","1","0","0.0000","0","0","0","0.0000","0","0"
"134","20930","1","0","0.0000","0","0","0","0.0000","0","0"
"135","2375","1","0","0.0000","0","0","0","0.0000","0","0"
"135","21116","1","0","0.0000","0","0","0","0.0000","0","0"
"136","20761","1","0","0.0000","0","0","0","0.0000","0","0"
"137","21313","1","0","0.0000","0","0","0","0.0000","0","0"
"138","20832","1","4","4.0000","4","4","2","2.0000","2","2"
"138","20984","1","0","0.0000","0","0","0","0.0000","0","0"
"139","21163","1","0","0.0000","0","0","0","0.0000","0","0"
"140","21040","1","1","1.0000","1","1","0","0.0000","0","0"
"141","21032","1","0","0.0000","0","0","1","1.0000","1","1"
"141","21059","1","1","1.0000","1","1","7","7.0000","7","7"
"142","20875","1","0","0.0000","0","0","0","0.0000","0","0"
"142","20991","1","0","0.0000","0","0","0","0.0000","0","0"
"143","21156","1","0","0.0000","0","0","0","0.0000","0","0"
"143","21323","1","0","0.0000","0","0","0","0.0000","0","0"
"144","20979","1","0","0.0000","0","0","0","0.0000","0","0"
"144","21036","1","0","0.0000","0","0","1","1.0000","1","1"
"145","21312","1","1","1.0000","1","1","4","4.0000","4","4"
"146","20998","1","0","0.0000","0","0","0","0.0000","0","0"
"147","20850","1","0","0.0000","0","0","0","0.0000","0","0"
"147","21125","1","0","0.0000","0","0","0","0.0000","0","0"
"148","20850","1","0","0.0000","0","0","0","0.0000","0","0"
"148","20875","1","0","0.0000","0","0","0","0.0000","0","0"
"149","20908","1","0","0.0000","0","0","0","0.0000","0","0"
"150","21176","1","0","0.0000","0","0","0","0.0000","0","0"
"151","6000","1","2","2.0000","2","2","0","0.0000","0","0"
"151","20800","1","0","0.0000","0","0","0","0.0000","0","0"
"151","20828","1","0","0.0000","0","0","0","0.0000","0","0"
"152","20781","1","0","0.0000","0","0","0","0.0000","0","0"
"153","21323","1","0","0.0000","0","0","0","0.0000","0","0"
"154","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"154","20960","1","0","0.0000","0","0","2","2.0000","2","2"
"155","11586","2","1","0.5000","1","0","0","0.0000","0","0"
"155","21000","1","0","0.0000","0","0","0","0.0000","0","0"
"156","2398","1","0","0.0000","0","0","0","0.0000","0","0"
"156","4802","1","0","0.0000","0","0","0","0.0000","0","0"
"157","20883","1","0","0.0000","0","0","0","0.0000","0","0"
"158","21323","1","0","0.0000","0","0","0","0.0000","0","0"
"159","21006","1","0","0.0000","0","0","0","0.0000","0","0"
"160","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"161","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"162","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"163","20979","1","0","0.0000","0","0","0","0.0000","0","0"
"164","20985","1","0","0.0000","0","0","0","0.0000","0","0"
"164","21156","1","0","0.0000","0","0","0","0.0000","0","0"
"165","20930","1","0","0.0000","0","0","0","0.0000","0","0"
"165","21306","1","0","0.0000","0","0","0","0.0000","0","0"
"166","20832","1","0","0.0000","0","0","0","0.0000","0","0"
"166","20834","1","0","0.0000","0","0","0","0.0000","0","0"
"166","21296","1","0","0.0000","0","0","0","0.0000","0","0"
"166","21634","1","0","0.0000","0","0","0","0.0000","0","0"
"167","21240","1","0","0.0000","0","0","0","0.0000","0","0"
"168","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"169","20999","1","0","0.0000","0","0","0","0.0000","0","0"
"170","20999","1","0","0.0000","0","0","0","0.0000","0","0"
"170","21045","1","0","0.0000","0","0","2","2.0000","2","2"
"171","20788","1","0","0.0000","0","0","0","0.0000","0","0"
"172","2370","1","0","0.0000","0","0","0","0.0000","0","0"
"172","20928","1","0","0.0000","0","0","0","0.0000","0","0"
"173","20928","1","0","0.0000","0","0","0","0.0000","0","0"
"174","20928","2","0","0.0000","0","0","2","1.0000","2","0"
"175","20875","1","0","0.0000","0","0","1","1.0000","1","1"
"176","20900","1","0","0.0000","0","0","0","0.0000","0","0"
"176","21319","1","0","0.0000","0","0","0","0.0000","0","0"
"177","21111","3","0","0.0000","0","0","0","0.0000","0","0"
"178","20782","2","0","0.0000","0","0","0","0.0000","0","0"
"178","21015","1","0","0.0000","0","0","0","0.0000","0","0"
"179","2370","1","0","0.0000","0","0","0","0.0000","0","0"
"179","2373","1","0","0.0000","0","0","0","0.0000","0","0"
"180","20928","1","0","0.0000","0","0","0","0.0000","0","0"
"180","21032","1","0","0.0000","0","0","0","0.0000","0","0"
"181","20930","1","0","0.0000","0","0","0","0.0000","0","0"
"182","21208","4","0","0.0000","0","0","0","0.0000","0","0"
"183","20899","1","0","0.0000","0","0","0","0.0000","0","0"
"184","2370","3","0","0.0000","0","0","0","0.0000","0","0"
"185","21163","1","0","0.0000","0","0","1","1.0000","1","1"
"185","21226","1","0","0.0000","0","0","0","0.0000","0","0"
"186","21208","1","0","0.0000","0","0","0","0.0000","0","0"
"187","21323","1","0","0.0000","0","0","0","0.0000","0","0"
"188","21156","1","0","0.0000","0","0","0","0.0000","0","0"
"188","21323","1","0","0.0000","0","0","0","0.0000","0","0"
"189","20969","1","0","0.0000","0","0","3","3.0000","3","3"
"189","21323","1","0","0.0000","0","0","0","0.0000","0","0"
"190","21323","1","0","0.0000","0","0","0","0.0000","0","0"
"191","20863","1","0","0.0000","0","0","0","0.0000","0","0"
"192","20789","1","0","0.0000","0","0","0","0.0000","0","0"
"192","20872","1","0","0.0000","0","0","0","0.0000","0","0"
"193","20885","1","0","0.0000","0","0","0","0.0000","0","0"
"193","21323","2","0","0.0000","0","0","0","0.0000","0","0"
"194","21323","1","0","0.0000","0","0","0","0.0000","0","0"
"195","20831","1","0","0.0000","0","0","0","0.0000","0","0"
"196","21319","1","0","0.0000","0","0","0","0.0000","0","0"
"197","20910","1","0","0.0000","0","0","1","1.0000","1","1"
"198","2398","1","0","0.0000","0","0","0","0.0000","0","0"
"199","17897","1","0","0.0000","0","0","0","0.0000","0","0"
"200","20777","1","0","0.0000","0","0","0","0.0000","0","0"
"201","21123","1","0","0.0000","0","0","0","0.0000","0","0"
"202","20767","1","0","0.0000","0","0","0","0.0000","0","0"
"202","20808","1","0","0.0000","0","0","0","0.0000","0","0"
"203","20816","1","0","0.0000","0","0","0","0.0000","0","0"
"204","19892","1","0","0.0000","0","0","0","0.0000","0","0"
"205","20875","1","0","0.0000","0","0","0","0.0000","0","0"
"206","20816","2","0","0.0000","0","0","0","0.0000","0","0"
"207","20816","1","0","0.0000","0","0","0","0.0000","0","0"
"208","20822","1","0","0.0000","0","0","0","0.0000","0","0"
"209","21111","2","0","0.0000","0","0","2","1.0000","2","0"
"210","20828","1","0","0.0000","0","0","0","0.0000","0","0"
"210","21134","1","0","0.0000","0","0","0","0.0000","0","0"
"211","19643","2","0","0.0000","0","0","0","0.0000","0","0"
"212","2367","1","0","0.0000","0","0","0","0.0000","0","0"
"213","20906","1","0","0.0000","0","0","0","0.0000","0","0"
"214","21323","3","0","0.0000","0","0","0","0.0000","0","0"
"215","4793","2","0","0.0000","0","0","0","0.0000","0","0"
"216","21639","1","0","0.0000","0","0","0","0.0000","0","0"
"217","19855","1","0","0.0000","0","0","0","0.0000","0","0"
"218","21116","1","0","0.0000","0","0","0","0.0000","0","0"
"219","19643","1","0","0.0000","0","0","0","0.0000","0","0"
"220","19643","1","0","0.0000","0","0","0","0.0000","0","0"
"221","19643","1","0","0.0000","0","0","0","0.0000","0","0"
"222","20909","1","0","0.0000","0","0","0","0.0000","0","0"
"223","21169","1","0","0.0000","0","0","0","0.0000","0","0"
"224","21185","2","0","0.0000","0","0","0","0.0000","0","0"
"225","19843","1","0","0.0000","0","0","0","0.0000","0","0"
"226","19643","1","0","0.0000","0","0","0","0.0000","0","0"
"227","20919","1","0","0.0000","0","0","0","0.0000","0","0"
"228","21205","1","0","0.0000","0","0","0","0.0000","0","0"
"229","16423","1","0","0.0000","0","0","0","0.0000","0","0"
"230","20848","1","0","0.0000","0","0","0","0.0000","0","0"
"231","20919","1","0","0.0000","0","0","0","0.0000","0","0"
"232","21250","2","0","0.0000","0","0","0","0.0000","0","0"
"233","21250","1","0","0.0000","0","0","0","0.0000","0","0"
"234","21240","1","0","0.0000","0","0","0","0.0000","0","0"
"235","21163","1","0","0.0000","0","0","0","0.0000","0","0"
"236","11596","1","0","0.0000","0","0","0","0.0000","0","0"
"236","20831","1","0","0.0000","0","0","0","0.0000","0","0"
"236","21323","1","0","0.0000","0","0","0","0.0000","0","0"
"237","20828","1","0","0.0000","0","0","0","0.0000","0","0"
"238","21104","1","0","0.0000","0","0","0","0.0000","0","0"
"239","18033","1","0","0.0000","0","0","0","0.0000","0","0"
"239","20886","1","0","0.0000","0","0","0","0.0000","0","0"
"240","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"241","21003","1","0","0.0000","0","0","0","0.0000","0","0"
"242","20840","1","0","0.0000","0","0","0","0.0000","0","0"
"242","21016","1","0","0.0000","0","0","0","0.0000","0","0"
"243","9932","1","0","0.0000","0","0","0","0.0000","0","0"
"244","20828","1","0","0.0000","0","0","0","0.0000","0","0"
"244","21111","2","0","0.0000","0","0","0","0.0000","0","0"
"245","20857","1","0","0.0000","0","0","0","0.0000","0","0"
"246","10072","1","0","0.0000","0","0","0","0.0000","0","0"
"246","17996","1","0","0.0000","0","0","0","0.0000","0","0"
"246","20821","1","2","2.0000","2","2","0","0.0000","0","0"
"247","17770","1","0","0.0000","0","0","0","0.0000","0","0"
"247","20917","1","0","0.0000","0","0","0","0.0000","0","0"
"248","20760","1","0","0.0000","0","0","0","0.0000","0","0"
"248","21208","2","0","0.0000","0","0","0","0.0000","0","0"
"249","19643","1","0","0.0000","0","0","0","0.0000","0","0"
"249","20829","1","0","0.0000","0","0","0","0.0000","0","0"
"250","20782","1","0","0.0000","0","0","0","0.0000","0","0"
"251","2378","1","3","3.0000","3","3","0","0.0000","0","0"
"252","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"253","20810","1","0","0.0000","0","0","0","0.0000","0","0"
"254","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"255","17770","1","0","0.0000","0","0","0","0.0000","0","0"
"255","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"255","21208","1","3","3.0000","3","3","0","0.0000","0","0"
"256","20761","1","0","0.0000","0","0","0","0.0000","0","0"
"256","20782","1","0","0.0000","0","0","0","0.0000","0","0"
"256","21033","1","0","0.0000","0","0","0","0.0000","0","0"
"257","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"258","20782","1","0","0.0000","0","0","0","0.0000","0","0"
"258","20795","1","0","0.0000","0","0","0","0.0000","0","0"
"258","20799","1","0","0.0000","0","0","0","0.0000","0","0"
"258","20810","1","0","0.0000","0","0","0","0.0000","0","0"
"259","21144","1","0","0.0000","0","0","0","0.0000","0","0"
"260","20767","2","0","0.0000","0","0","0","0.0000","0","0"
"261","20767","1","0","0.0000","0","0","0","0.0000","0","0"
"262","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"262","20799","1","0","0.0000","0","0","0","0.0000","0","0"
"263","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"263","20807","1","0","0.0000","0","0","0","0.0000","0","0"
"264","2383","1","1","1.0000","1","1","0","0.0000","0","0"
"264","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"264","20795","1","0","0.0000","0","0","0","0.0000","0","0"
"264","20802","1","0","0.0000","0","0","0","0.0000","0","0"
"265","20829","1","0","0.0000","0","0","0","0.0000","0","0"
"266","20782","1","0","0.0000","0","0","0","0.0000","0","0"
"267","20766","1","0","0.0000","0","0","0","0.0000","0","0"
"267","20968","1","0","0.0000","0","0","0","0.0000","0","0"
"268","20763","1","0","0.0000","0","0","0","0.0000","0","0"
"268","20773","1","0","0.0000","0","0","0","0.0000","0","0"
"268","20776","1","0","0.0000","0","0","0","0.0000","0","0"
"268","21062","1","1","1.0000","1","1","1","1.0000","1","1"
"269","20963","1","0","0.0000","0","0","0","0.0000","0","0"
"270","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"271","20755","1","0","0.0000","0","0","0","0.0000","0","0"
"272","20794","2","0","0.0000","0","0","0","0.0000","0","0"
"273","20906","1","0","0.0000","0","0","0","0.0000","0","0"
"274","19643","1","0","0.0000","0","0","0","0.0000","0","0"
"275","21111","1","0","0.0000","0","0","2","2.0000","2","2"
"276","20807","1","0","0.0000","0","0","0","0.0000","0","0"
"277","20928","1","0","0.0000","0","0","3","3.0000","3","3"
"278","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"279","21111","1","1","1.0000","1","1","0","0.0000","0","0"
"280","18048","1","0","0.0000","0","0","0","0.0000","0","0"
"280","20798","1","0","0.0000","0","0","0","0.0000","0","0"
"281","20813","1","0","0.0000","0","0","0","0.0000","0","0"
"282","17713","1","0","0.0000","0","0","0","0.0000","0","0"
"282","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"282","20812","1","0","0.0000","0","0","0","0.0000","0","0"
"283","17996","1","0","0.0000","0","0","0","0.0000","0","0"
"284","20794","2","0","0.0000","0","0","0","0.0000","0","0"
"285","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"286","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"287","20794","2","0","0.0000","0","0","0","0.0000","0","0"
"288","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"288","20807","1","0","0.0000","0","0","0","0.0000","0","0"
"289","17883","1","0","0.0000","0","0","0","0.0000","0","0"
"289","21111","1","0","0.0000","0","0","0","0.0000","0","0"
"290","20794","1","0","0.0000","0","0","0","0.0000","0","0"
"291","20829","1","0","0.0000","0","0","0","0.0000","0","0"
"292","20802","1","0","0.0000","0","0","0","0.0000","0","0"
"293","20794","2","0","0.0000","0","0","0","0.0000","0","0"
"294","20827","1","0","0.0000","0","0","0","0.0000","0","0"
"294","21215","1","0","0.0000","0","0","0","0.0000","0","0"
"295","20794","1","0","0.0000","0","0","0","0.0000","0","0"
